vehicle_id,n_rows,time_col,t_start_s,t_end_s,any_taem_success_flag,first_success_t_s,any_taem_success_latched,last_taem_success_latched,any_taem_reached_ever,last_taem_reached_ever,any_taem_reached_event,last_taem_reached_event,any_taem_reached,last_taem_reached,any_taem_in_box,last_taem_in_box,any_end_guide,last_end_guide,any_close_pass_escape,last_close_pass_escape,end_reason_last,guide_phase_last,taem_dwell_s_max_logged,taem_dwell_s_final_logged,taem_dwell_count_max_logged,taem_dwell_count_final_logged,dwell_total_s_computed,dwell_max_s_computed,taem_h_err_final,taem_h_err_min_abs,taem_v_err_final,taem_v_err_min_abs,taem_s_go_err_final,taem_s_go_err_min_abs,height_final,height_min,height_max,velocity_final,velocity_min,velocity_max,s_go_final,s_go_min,s_go_max,q_final,q_min,q_max,bank_angle_final,bank_angle_min,bank_angle_max,attack_angle_final,attack_angle_min,attack_angle_max,b1_soft_pass,b1_strict_pass,b1_vehicle_decision
0,5859,global_t,0.0,2137.4810000002053,True,2137.4810000002053,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2248.5488024690603,8.88402531986867,-0.3559463285994297,0.3559463285994297,-24318.31322228344,0.1295783620007569,22751.45119753094,21240.24131862587,80336.291946133,1999.6440536714008,1999.6440536714008,7010.964043043054,25681.68677771656,25681.68677771656,11115078.852934292,75.352569739805,51.958025780406246,507.0618308637631,-0.1369624718299077,-1.0102433253020446,1.0148094979682667,0.1298836820000901,0.092658634047442,0.3490658503988659,True,True,PASS_STRICT
1,5829,global_t,0.0,2130.512000000202,True,2130.512000000202,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2258.3914750962103,2.460923365288181,6.828193409372261,6.828193409372261,-24405.464124089736,0.075537608936429,22741.60852490379,21358.595299466244,80336.291946133,2006.8281934093725,2006.8281934093725,7011.080296880809,25594.535875910264,25594.535875910264,11115078.852934292,76.26491343172728,51.958025780406246,509.37376431262425,-0.1592057766686125,-1.0156838864675233,1.0210755217944714,0.130440647152994,0.0921080261373305,0.3490658503988659,True,True,PASS_STRICT
2,5817,global_t,0.0,2126.8190000002032,True,2126.8190000002032,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2194.151376503364,1.4851841866584437,-0.3287786641335515,0.3287786641335515,-26382.70766482565,0.7915076007557218,22805.84862349664,21353.283547259685,80336.291946133,1999.6712213358664,1999.6712213358664,7011.196848029787,23617.292335174345,23617.292335174345,11115078.852934292,75.04898382288049,51.958025780406246,511.8016752725585,-0.1779416142983509,-1.0199650415890162,1.026057794736018,0.1309984334325571,0.0917476893014305,0.3490658503988659,True,True,PASS_STRICT
