vehicle_id,n_rows,time_col,t_start_s,t_end_s,any_taem_success_flag,first_success_t_s,any_taem_success_latched,last_taem_success_latched,any_taem_reached_ever,last_taem_reached_ever,any_taem_reached_event,last_taem_reached_event,any_taem_reached,last_taem_reached,any_taem_in_box,last_taem_in_box,any_end_guide,last_end_guide,any_close_pass_escape,last_close_pass_escape,end_reason_last,guide_phase_last,taem_dwell_s_max_logged,taem_dwell_s_final_logged,taem_dwell_count_max_logged,taem_dwell_count_final_logged,dwell_total_s_computed,dwell_max_s_computed,taem_h_err_final,taem_h_err_min_abs,taem_v_err_final,taem_v_err_min_abs,taem_s_go_err_final,taem_s_go_err_min_abs,height_final,height_min,height_max,velocity_final,velocity_min,velocity_max,s_go_final,s_go_min,s_go_max,q_final,q_min,q_max,bank_angle_final,bank_angle_min,bank_angle_max,attack_angle_final,attack_angle_min,attack_angle_max,b1_soft_pass,b1_strict_pass,b1_vehicle_decision
0,5866,global_t,0.0,2137.308000000204,True,2137.308000000204,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2271.2152109644703,9.210520897609968,-3.18607294447429,2.489357913490494,-24284.5402027214,0.6233961418256513,22728.78478903553,21220.77882254945,80492.240196345,1996.8139270555257,1996.8139270555257,7011.57027533678,25715.459797278603,25715.459797278603,11115078.852934292,75.14477667166668,51.36138957693049,508.3097693394744,-0.1465161587834656,-1.010358782436381,1.0157712257767673,0.1300534257027192,0.0925081730725877,0.3490658503988659,True,True,PASS_STRICT
1,5836,global_t,0.0,2130.0240000002022,True,2130.0240000002022,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2262.223283976105,2.224172232890851,7.788890485822321,7.788890485822321,-24418.832690971067,0.9165345879227972,22737.77671602389,21369.21074842709,80492.240196345,2007.7888904858223,2007.7888904858223,7011.686857633655,25581.167309028933,25581.167309028933,11115078.852934292,76.40192993672206,51.36138957693049,510.62716797806377,-0.1606487768171494,-1.016381191410603,1.0220774261014949,0.1305657139360789,0.0918902131211953,0.3490658503988659,True,True,PASS_STRICT
2,5824,global_t,0.0,2126.457000000203,True,2126.457000000203,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2198.5783237799697,1.7678554266421995,0.4926820870946358,0.4926820870946358,-26394.68572285116,0.6841212732761051,22801.42167622003,21386.2429662604,80492.240196345,2000.4926820870944,2000.4926820870944,7011.803705492935,23605.31427714884,23605.31427714884,11115078.852934292,75.17109535000577,51.36138957693049,513.059865455836,-0.1819960908133872,-1.021283708773688,1.027056256560973,0.1314618122979443,0.0916967831019285,0.3490658503988659,True,True,PASS_STRICT
