vehicle_id,n_rows,time_col,t_start_s,t_end_s,any_taem_success_flag,first_success_t_s,any_taem_success_latched,last_taem_success_latched,any_taem_reached_ever,last_taem_reached_ever,any_taem_reached_event,last_taem_reached_event,any_taem_reached,last_taem_reached,any_taem_in_box,last_taem_in_box,any_end_guide,last_end_guide,any_close_pass_escape,last_close_pass_escape,end_reason_last,guide_phase_last,taem_dwell_s_max_logged,taem_dwell_s_final_logged,taem_dwell_count_max_logged,taem_dwell_count_final_logged,dwell_total_s_computed,dwell_max_s_computed,taem_h_err_final,taem_h_err_min_abs,taem_v_err_final,taem_v_err_min_abs,taem_s_go_err_final,taem_s_go_err_min_abs,height_final,height_min,height_max,velocity_final,velocity_min,velocity_max,s_go_final,s_go_min,s_go_max,q_final,q_min,q_max,bank_angle_final,bank_angle_min,bank_angle_max,attack_angle_final,attack_angle_min,attack_angle_max,b1_soft_pass,b1_strict_pass,b1_vehicle_decision
0,5851,global_t,0.0,2138.283000000204,True,2138.283000000204,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2199.651916716972,5.4584224648315285,1.5659354878391696,1.5659354878391696,-24339.410117444346,0.275448460743064,22800.34808328303,21291.131366070527,80377.602556548,2001.5659354878392,2001.5659354878392,7009.893016843422,25660.58988255565,25660.58988255565,11115078.852934292,75.30426782532552,51.77015738118142,507.8013654651449,-0.134020948825866,-1.0100300328553304,1.0131033488917216,0.1302586183898843,0.0927961654201748,0.3490658503988659,True,True,PASS_STRICT
1,5839,global_t,0.0,2131.8000000002044,True,2131.8000000002044,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2289.8410317273483,1.1688783154822886,1.2641146370281149,1.2641146370281149,-24339.39907025098,0.2226219504736946,22710.15896827265,21289.20338020391,80377.602556548,2001.264114637028,2001.264114637028,7010.009226650472,25660.60092974902,25660.60092974902,11115078.852934292,75.779360200664,51.77015738118142,510.0760868675581,-0.1547632441127792,-1.0143259722573437,1.0194052835911125,0.1304286017541404,0.0921327514768448,0.3490658503988659,True,True,PASS_STRICT
2,5809,global_t,0.0,2127.810000000202,True,2127.810000000202,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2191.726080824937,1.2032762024573458,-1.093625466233334,1.093625466233334,-26373.06522341705,0.568301621809951,22808.273919175062,21333.911092634768,80377.602556548,1998.906374533767,1998.906374533767,7010.125716216011,23626.934776582948,23626.934776582948,11115078.852934292,74.94496607828127,51.77015738118142,512.5376650210754,-0.1662407475571317,-1.0185367549458757,1.024411648536466,0.13095635137255,0.0916693247037022,0.3490658503988659,True,True,PASS_STRICT
