vehicle_id,n_rows,time_col,t_start_s,t_end_s,any_taem_success_flag,first_success_t_s,any_taem_success_latched,last_taem_success_latched,any_taem_reached_ever,last_taem_reached_ever,any_taem_reached_event,last_taem_reached_event,any_taem_reached,last_taem_reached,any_taem_in_box,last_taem_in_box,any_end_guide,last_end_guide,any_close_pass_escape,last_close_pass_escape,end_reason_last,guide_phase_last,taem_dwell_s_max_logged,taem_dwell_s_final_logged,taem_dwell_count_max_logged,taem_dwell_count_final_logged,dwell_total_s_computed,dwell_max_s_computed,taem_h_err_final,taem_h_err_min_abs,taem_v_err_final,taem_v_err_min_abs,taem_s_go_err_final,taem_s_go_err_min_abs,height_final,height_min,height_max,velocity_final,velocity_min,velocity_max,s_go_final,s_go_min,s_go_max,q_final,q_min,q_max,bank_angle_final,bank_angle_min,bank_angle_max,attack_angle_final,attack_angle_min,attack_angle_max,b1_soft_pass,b1_strict_pass,b1_vehicle_decision
0,5849,global_t,0.0,2141.305000000206,True,2141.305000000206,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2255.4530355989955,4.350361641252675,1.701136677075283,1.701136677075283,-22277.69085263321,0.3095283689399366,22744.546964401005,21159.163278960925,80316.252096347,2001.7011366770755,2001.7011366770755,7004.542951357126,27722.309147366785,27722.309147366785,11115078.852934292,75.63617415322702,51.884517466967566,508.8742002180332,-0.1041008770013013,-1.0038760687460069,1.0054611352769376,0.1288202263225353,0.0927860535722454,0.3490658503988659,True,True,PASS_STRICT
1,5837,global_t,0.0,2134.7410000002023,True,2134.7410000002023,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2284.9492351109766,6.4178919564838,7.200617556204179,7.200617556204179,-22343.588772175703,0.2032055999952717,22715.050764889023,21270.88164617192,80316.252096347,2007.200617556204,2007.200617556204,7004.658485862712,27656.411227824294,27656.411227824294,11115078.852934292,76.4616518669899,51.884517466967566,511.1731800399994,-0.124919804748433,-1.007623539736218,1.0115992441356845,0.1296160161313888,0.0930505642481161,0.3490658503988659,True,True,PASS_STRICT
2,5812,global_t,0.0,2131.062000000206,True,2131.062000000206,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2242.747807574906,1.6036724732512084,-0.3624354983003286,0.3624354983003286,-24316.00612950368,0.555763440708688,22757.25219242509,21230.991320869813,80316.252096347,1999.6375645017,1999.6375645017,7004.774304241174,25683.99387049632,25683.99387049632,11115078.852934292,75.3190229441497,51.884517466967566,513.5878333350985,-0.1371937573987293,-1.0126584362069544,1.0167468169518783,0.1296167412635216,0.0925058532804714,0.3490658503988659,True,True,PASS_STRICT
