vehicle_id,n_rows,time_col,t_start_s,t_end_s,any_taem_success_flag,first_success_t_s,any_taem_success_latched,last_taem_success_latched,any_taem_reached_ever,last_taem_reached_ever,any_taem_reached_event,last_taem_reached_event,any_taem_reached,last_taem_reached,any_taem_in_box,last_taem_in_box,any_end_guide,last_end_guide,any_close_pass_escape,last_close_pass_escape,end_reason_last,guide_phase_last,taem_dwell_s_max_logged,taem_dwell_s_final_logged,taem_dwell_count_max_logged,taem_dwell_count_final_logged,dwell_total_s_computed,dwell_max_s_computed,taem_h_err_final,taem_h_err_min_abs,taem_v_err_final,taem_v_err_min_abs,taem_s_go_err_final,taem_s_go_err_min_abs,height_final,height_min,height_max,velocity_final,velocity_min,velocity_max,s_go_final,s_go_min,s_go_max,q_final,q_min,q_max,bank_angle_final,bank_angle_min,bank_angle_max,attack_angle_final,attack_angle_min,attack_angle_max,b1_soft_pass,b1_strict_pass,b1_vehicle_decision
0,5858,global_t,0.0,2141.2510000002057,True,2141.2510000002057,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2258.394119769029,5.934184937963437,1.5796838028484217,1.5796838028484217,-22277.70431063687,0.473262420426181,22741.60588023097,21156.433859217464,80332.07392227,2001.5796838028484,2001.5796838028484,7004.622591884465,27722.29568936313,27722.29568936313,11115078.852934292,75.63840165644223,51.82418678428494,509.0106738514039,-0.1041882242452356,-1.0038915840959006,1.0055332167204662,0.1287870137317791,0.0927800184249523,0.3490658503988659,True,True,PASS_STRICT
1,5829,global_t,0.0,2135.0300000002044,True,2135.0300000002044,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2275.933906660637,6.610003356181551,4.24047329863015,4.24047329863015,-22308.864508234707,0.6872116736485623,22724.066093339363,21261.965180878,80332.07392227,2004.24047329863,2004.24047329863,7004.738161572312,27691.135491765293,27691.135491765293,11115078.852934292,76.05556958749307,51.82418678428494,511.3103740884954,-0.1308923213251002,-1.0077232399920952,1.0116717861503208,0.1298906352558237,0.0933078513708924,0.3490658503988659,True,True,PASS_STRICT
2,5809,global_t,0.0,2131.032000000204,True,2131.032000000204,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2248.869229337837,4.605736424899078,-0.3563244369820495,0.3563244369820495,-24316.04087474561,0.1556776585202897,22751.130770662163,21230.42629925136,80332.07392227,1999.643675563018,1999.643675563018,7004.8540127221095,25683.9591252544,25683.9591252544,11115078.852934292,75.3543357525903,51.82418678428494,513.7246249640385,-0.1378667086671002,-1.0127108927776942,1.016819337317975,0.1296162405306931,0.0925780348356538,0.3490658503988659,True,True,PASS_STRICT
