vehicle_id,n_rows,time_col,t_start_s,t_end_s,any_taem_success_flag,first_success_t_s,any_taem_success_latched,last_taem_success_latched,any_taem_reached_ever,last_taem_reached_ever,any_taem_reached_event,last_taem_reached_event,any_taem_reached,last_taem_reached,any_taem_in_box,last_taem_in_box,any_end_guide,last_end_guide,any_close_pass_escape,last_close_pass_escape,end_reason_last,guide_phase_last,taem_dwell_s_max_logged,taem_dwell_s_final_logged,taem_dwell_count_max_logged,taem_dwell_count_final_logged,dwell_total_s_computed,dwell_max_s_computed,taem_h_err_final,taem_h_err_min_abs,taem_v_err_final,taem_v_err_min_abs,taem_s_go_err_final,taem_s_go_err_min_abs,height_final,height_min,height_max,velocity_final,velocity_min,velocity_max,s_go_final,s_go_min,s_go_max,q_final,q_min,q_max,bank_angle_final,bank_angle_min,bank_angle_max,attack_angle_final,attack_angle_min,attack_angle_max,b1_soft_pass,b1_strict_pass,b1_vehicle_decision
0,5847,global_t,0.0,2138.0990000002034,True,2138.0990000002034,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2235.550063047624,0.1932371110706299,0.5583022028220057,0.5583022028220057,-24328.577037560884,0.4845080380619038,22764.449936952376,21231.3681779066,80349.69385611,2000.558302202822,2000.558302202822,7010.107292844806,25671.42296243912,25671.42296243912,11115078.852934292,75.38761405557223,51.88492592739544,507.47451785710086,-0.1266049397804266,-1.0102998740347162,1.0134135219242106,0.1297827880633278,0.0926183112915017,0.3490658503988659,True,True,PASS_STRICT
1,5842,global_t,0.0,2131.614000000204,True,2131.614000000204,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2288.7675695380312,3.703244221593195,1.763105399202459,1.763105399202459,-24345.426304919936,0.120773047718103,22711.23243046197,21299.93119422885,80349.69385611,2001.7631053992025,2001.7631053992025,7010.22347724041,25654.573695080064,25654.573695080064,11115078.852934292,75.832788809404,51.88492592739544,509.74868391622255,-0.1568220252268683,-1.0146058869381624,1.0197610102401125,0.130510194473643,0.092055554727912,0.3490658503988659,True,True,PASS_STRICT
2,5810,global_t,0.0,2126.488000000203,True,2126.488000000203,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2280.670786519775,0.5971513758449873,6.650384721310729,6.650384721310729,-24405.33356081819,0.8999363153125159,22719.329213480225,21389.46085247389,80349.69385611,2006.6503847213107,2006.6503847213107,7010.339951094717,25594.66643918181,25594.66643918181,11115078.852934292,76.37113590687689,51.88492592739544,512.2100634910012,-0.1803586006764928,-1.0188067747175702,1.024720593827062,0.1308290448966943,0.0917316972551138,0.3490658503988659,True,True,PASS_STRICT
