vehicle_id,n_rows,time_col,t_start_s,t_end_s,any_taem_success_flag,first_success_t_s,any_taem_success_latched,last_taem_success_latched,any_taem_reached_ever,last_taem_reached_ever,any_taem_reached_event,last_taem_reached_event,any_taem_reached,last_taem_reached,any_taem_in_box,last_taem_in_box,any_end_guide,last_end_guide,any_close_pass_escape,last_close_pass_escape,end_reason_last,guide_phase_last,taem_dwell_s_max_logged,taem_dwell_s_final_logged,taem_dwell_count_max_logged,taem_dwell_count_final_logged,dwell_total_s_computed,dwell_max_s_computed,taem_h_err_final,taem_h_err_min_abs,taem_v_err_final,taem_v_err_min_abs,taem_s_go_err_final,taem_s_go_err_min_abs,height_final,height_min,height_max,velocity_final,velocity_min,velocity_max,s_go_final,s_go_min,s_go_max,q_final,q_min,q_max,bank_angle_final,bank_angle_min,bank_angle_max,attack_angle_final,attack_angle_min,attack_angle_max,b1_soft_pass,b1_strict_pass,b1_vehicle_decision
0,5860,global_t,0.0,2138.949000000202,True,2138.949000000202,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2185.10129837531,0.708702385534707,0.2261339728886469,0.2261339728886469,-24321.55495636144,0.6645660971480538,22814.89870162469,21247.91518413628,80335.499248507,2000.2261339728889,2000.2261339728889,7009.051519575471,25678.44504363856,25678.44504363856,11115078.852934292,75.0636388661552,51.91575043109241,507.658492635806,-0.1226620960600113,-1.0090817384533413,1.011907898697176,0.1299666485872944,0.0930857148631621,0.3490658503988659,True,True,PASS_STRICT
1,5843,global_t,0.0,2132.3170000002046,True,2132.3170000002046,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2260.77260977092,2.5945301038664184,1.12259690755036,1.12259690755036,-24336.80259577672,0.4285544522208511,22739.22739022908,21259.473250498308,80335.499248507,2001.1225969075504,2001.1225969075504,7009.167567552754,25663.19740422328,25663.19740422328,11115078.852934292,75.59748939297266,51.91575043109241,509.9678353418356,-0.146816894809843,-1.0132326726314016,1.0180448282554977,0.1299572503567084,0.0924166550589082,0.3490658503988659,True,True,PASS_STRICT
2,5805,global_t,0.0,2128.5350000002054,True,2128.5350000002054,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2241.6735017656138,3.0793733125356084,-5.217855089705836,0.4220397798353588,-26319.575391592465,0.7097029878786998,22758.326498234383,21276.11685696321,80335.499248507,1994.7821449102944,1994.7821449102944,7009.2838978969485,23680.42460840753,23680.42460840753,11115078.852934292,74.73841265856095,51.91575043109241,512.391463338073,-0.1703439181872624,-1.0176341344368582,1.0232220687758495,0.1304492832208046,0.0917694021983636,0.3490658503988659,True,True,PASS_STRICT
