vehicle_id,n_rows,time_col,t_start_s,t_end_s,any_taem_success_flag,first_success_t_s,any_taem_success_latched,last_taem_success_latched,any_taem_reached_ever,last_taem_reached_ever,any_taem_reached_event,last_taem_reached_event,any_taem_reached,last_taem_reached,any_taem_in_box,last_taem_in_box,any_end_guide,last_end_guide,any_close_pass_escape,last_close_pass_escape,end_reason_last,guide_phase_last,taem_dwell_s_max_logged,taem_dwell_s_final_logged,taem_dwell_count_max_logged,taem_dwell_count_final_logged,dwell_total_s_computed,dwell_max_s_computed,taem_h_err_final,taem_h_err_min_abs,taem_v_err_final,taem_v_err_min_abs,taem_s_go_err_final,taem_s_go_err_min_abs,height_final,height_min,height_max,velocity_final,velocity_min,velocity_max,s_go_final,s_go_min,s_go_max,q_final,q_min,q_max,bank_angle_final,bank_angle_min,bank_angle_max,attack_angle_final,attack_angle_min,attack_angle_max,b1_soft_pass,b1_strict_pass,b1_vehicle_decision
0,5865,global_t,0.0,2135.0300000002044,True,2135.0300000002044,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2225.6160772054864,2.866215723493952,-5.248394341730545,0.3902723721628263,-26319.65481385652,0.6752466667458066,22774.38392279452,21310.03859393916,80064.217231085,1994.7516056582688,1994.7516056582688,7015.830401078812,23680.345186143484,23680.345186143484,11115078.852934292,74.64485898072829,53.15926307718672,503.0180255680989,-0.1780290978626174,-1.0167012839822611,1.0225168359145034,0.1310876050373929,0.0919673500933089,0.3490658503988659,True,True,PASS_STRICT
1,5829,global_t,0.0,2127.9830000002025,True,2127.9830000002025,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2249.029206658048,27.854147635323898,0.4119465886412854,0.4119465886412854,-26396.94587136929,0.0842758733851951,22750.970793341952,21379.32594957076,80064.217231085,2000.4119465886413,2000.4119465886413,7015.946711351764,23603.05412863071,23603.05412863071,11115078.852934292,75.44647566675204,53.15926307718672,505.3311907419726,-0.1962406067558358,-1.0229316899629102,1.0289721084229804,0.1313820791453029,0.0911948516232058,0.3490658503988659,True,True,PASS_STRICT
2,5827,global_t,0.0,2124.165000000205,True,2124.165000000205,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2225.5937651630484,10.810235196488064,-7.9161889124029585,2.28883895891272,-28349.47373347604,1.0186540724535007,22774.40623483695,21359.35331570376,80064.217231085,1992.083811087597,1992.083811087597,7016.063358413839,21650.526266523964,21650.526266523964,11115078.852934292,74.33072024370867,53.15926307718672,507.7556678102787,-0.2234991459094368,-1.0284230698875794,1.0340907201172629,0.1318155826327885,0.0908671100107047,0.3490658503988659,True,True,PASS_STRICT
