vehicle_id,n_rows,time_col,t_start_s,t_end_s,any_taem_success_flag,first_success_t_s,any_taem_success_latched,last_taem_success_latched,any_taem_reached_ever,last_taem_reached_ever,any_taem_reached_event,last_taem_reached_event,any_taem_reached,last_taem_reached,any_taem_in_box,last_taem_in_box,any_end_guide,last_end_guide,any_close_pass_escape,last_close_pass_escape,end_reason_last,guide_phase_last,taem_dwell_s_max_logged,taem_dwell_s_final_logged,taem_dwell_count_max_logged,taem_dwell_count_final_logged,dwell_total_s_computed,dwell_max_s_computed,taem_h_err_final,taem_h_err_min_abs,taem_v_err_final,taem_v_err_min_abs,taem_s_go_err_final,taem_s_go_err_min_abs,height_final,height_min,height_max,velocity_final,velocity_min,velocity_max,s_go_final,s_go_min,s_go_max,q_final,q_min,q_max,bank_angle_final,bank_angle_min,bank_angle_max,attack_angle_final,attack_angle_min,attack_angle_max,b1_soft_pass,b1_strict_pass,b1_vehicle_decision
0,5844,global_t,0.0,2134.2350000002043,True,2134.2350000002043,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2291.2759621486803,8.357279472376831,3.4986413063554664,3.4986413063554664,-24368.48150334952,0.6521479695948074,22708.72403785132,21327.376712621048,80157.702226641,2003.498641306356,2003.498641306356,7015.3349054440405,25631.51849665048,25631.51849665048,11115078.852934292,76.05439263379361,52.7717776602282,504.0231024482866,-0.1671342873139119,-1.0160369794966269,1.021741359552143,0.1308062751245264,0.091966942204394,0.3490658503988659,True,True,PASS_STRICT
1,5829,global_t,0.0,2128.3250000002054,True,2128.3250000002054,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2225.5627413943184,32.174374355872715,0.4244448915467274,0.4244448915467274,-26395.5419862929,0.1942822391429217,22774.43725860568,21379.00593947989,80157.702226641,2000.4244448915467,2000.4244448915467,7015.451328008276,23604.4580137071,23604.4580137071,11115078.852934292,75.3152900341265,52.7717776602282,506.3378541040972,-0.1924474329010711,-1.0221458204296334,1.028217079630299,0.1313590851127065,0.091565218453755,0.3490658503988659,True,True,PASS_STRICT
2,5813,global_t,0.0,2123.422000000204,True,2123.422000000204,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2296.239960143528,1.2565880914808076,0.3011079565494583,0.3011079565494583,-26396.367935265607,0.5554494311436429,22703.760039856472,21396.204730059344,80157.702226641,2000.3011079565488,2000.3011079565488,7015.568076658014,23603.6320647344,23603.6320647344,11115078.852934292,75.70087658189094,52.7717776602282,508.8064378569396,-0.2196598454360007,-1.0272547987822598,1.0332106761499298,0.1315391942592303,0.0907480793663617,0.3490658503988659,True,True,PASS_STRICT
