vehicle_id,n_rows,time_col,t_start_s,t_end_s,any_taem_success_flag,first_success_t_s,any_taem_success_latched,last_taem_success_latched,any_taem_reached_ever,last_taem_reached_ever,any_taem_reached_event,last_taem_reached_event,any_taem_reached,last_taem_reached,any_taem_in_box,last_taem_in_box,any_end_guide,last_end_guide,any_close_pass_escape,last_close_pass_escape,end_reason_last,guide_phase_last,taem_dwell_s_max_logged,taem_dwell_s_final_logged,taem_dwell_count_max_logged,taem_dwell_count_final_logged,dwell_total_s_computed,dwell_max_s_computed,taem_h_err_final,taem_h_err_min_abs,taem_v_err_final,taem_v_err_min_abs,taem_s_go_err_final,taem_s_go_err_min_abs,height_final,height_min,height_max,velocity_final,velocity_min,velocity_max,s_go_final,s_go_min,s_go_max,q_final,q_min,q_max,bank_angle_final,bank_angle_min,bank_angle_max,attack_angle_final,attack_angle_min,attack_angle_max,b1_soft_pass,b1_strict_pass,b1_vehicle_decision
0,5846,global_t,0.0,2134.5340000002034,True,2134.5340000002034,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2205.893796518707,0.1186199660951388,-2.673509357351122,2.673509357351122,-26352.809350192816,0.501636791988858,22794.106203481293,21328.69397980483,80052.722800666,1997.3264906426489,1997.3264906426489,7016.214712017717,23647.190649807184,23647.190649807184,11115078.852934292,74.83801473878046,53.21495969082449,502.77209788786297,-0.1760110180014822,-1.0171239061893245,1.023152644431821,0.1310392608436545,0.0918690569342249,0.3490658503988659,True,True,PASS_STRICT
1,5836,global_t,0.0,2127.675000000206,True,2127.675000000206,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2262.562288373523,27.119178896205995,0.3929003019757147,0.3929003019757147,-26395.61407291873,0.0285338980174856,22737.43771162648,21384.088716187915,80052.722800666,2000.392900301976,2000.392900301976,7016.331044198096,23604.385927081265,23604.385927081265,11115078.852934292,75.52082624638027,53.21495969082449,505.0854150750838,-0.2002301093172253,-1.0237150188669937,1.0296660157924975,0.1314602308979555,0.0911794602901401,0.3490658503988659,True,True,PASS_STRICT
2,5819,global_t,0.0,2122.4830000002025,True,2122.4830000002025,True,True,True,True,True,True,True,True,True,True,True,True,False,False,taem_dwell_reached,terminal_capture_phase,3.0,3.0,3.0,3.0,2.0999999999999943,2.0999999999999943,-2250.502873268895,8.813467661657342,4.88269667533109,4.88269667533109,-26454.91638709737,0.6976959623134462,22749.497126731105,21461.93021655781,80052.722800666,2004.882696675331,2004.882696675331,7016.447708965988,23545.083612902625,23545.083612902625,11115078.852934292,75.9872926577503,53.21495969082449,507.5522451111501,-0.2185022971330412,-1.0286133619745117,1.034698798844714,0.1318606177109497,0.0908590748177465,0.3490658503988659,True,True,PASS_STRICT
