stage,case_id,n_vehicle_logs,case_strict_success,case_replayed_dwell_all,case_any_close_pass,inside_u3,delta_h0_m,delta_v0_mps
B5A,hm500m_vp10mps_sp2deg,3,True,True,False,False,-500.0,10.0
B5A,hm500m_vp20mps_sp2deg,3,False,False,True,False,-500.0,20.0
B5A,hm500m_vp30mps_sp2deg,3,False,False,False,False,-500.0,30.0
B5A,hm500m_vp40mps_sp2deg,3,False,False,False,False,-500.0,40.0
B5A,hm500m_vp50mps_sp2deg,3,False,False,True,False,-500.0,50.0
B5A,hm500m_vz0mps_sp2deg,3,True,True,False,,-500.0,
B5A,hm56p5858m_vm36p3657mps_sp2deg,3,False,False,True,False,-56.586,-36.366
B5A,hp122p534m_vm2p97359mps_sp2deg,3,True,True,False,True,122.534,-2.974
B5A,hp143p865m_vm0p634303mps_sp2deg,3,True,True,False,True,143.865,-0.634
B5A,hp147p164m_vp7p68177mps_sp2deg,3,True,True,False,True,147.164,7.682
B5A,hp182p496m_vm41p6149mps_sp2deg,3,False,False,True,False,182.496,-41.615
B5A,hp184p675m_vm5p90229mps_sp2deg,3,True,True,False,True,184.675,-5.902
B5A,hp195p154m_vm9p35963mps_sp2deg,3,True,True,False,True,195.154,-9.36
B5A,hp200p265m_vm31p258mps_sp2deg,3,False,False,True,False,200.265,-31.258
B5A,hp205p165m_vm3p15626mps_sp2deg,3,True,True,False,True,205.165,-3.156
B5A,hp229p1m_vp3p23582mps_sp2deg,3,True,True,False,True,229.1,3.236
B5A,hp235p53m_vm19p0758mps_sp2deg,3,False,False,True,False,235.53,-19.076
B5A,hp244p762m_vp8p05058mps_sp2deg,3,True,True,False,True,244.762,8.051
B5A,hp253p79m_vm8p87193mps_sp2deg,3,True,True,False,True,253.79,-8.872
B5A,hp258p088m_vm28p7284mps_sp2deg,3,False,False,False,False,258.088,-28.728
B5A,hp258p913m_vp7p0568mps_sp2deg,3,True,True,False,True,258.913,7.057
B5A,hp261p14m_vm2p83614mps_sp2deg,3,True,True,False,True,261.14,-2.836
B5A,hp273p956m_vm23p6673mps_sp2deg,3,False,False,True,False,273.956,-23.667
B5A,hp278p383m_vm38p3217mps_sp2deg,3,False,False,True,False,278.383,-38.322
B5A,hp27p6014m_vm12p4877mps_sp2deg,3,False,False,True,False,27.601,-12.488
B5A,hp286p924m_vm10p1089mps_sp2deg,3,True,True,False,False,286.924,-10.109
B5A,hp301p31m_vp8p98796mps_sp2deg,3,True,True,False,True,301.31,8.988
B5A,hp325p987m_vm9p58915mps_sp2deg,3,True,True,False,True,325.987,-9.589
B5A,hp327p631m_vm12p1001mps_sp2deg,3,True,True,False,False,327.631,-12.1
B5A,hp332p26m_vm1p71414mps_sp2deg,3,True,True,False,True,332.26,-1.714
B5A,hp333p663m_vm5p88237mps_sp2deg,3,True,True,False,True,333.663,-5.882
B5A,hp357p148m_vm8p05586mps_sp2deg,3,True,True,False,True,357.148,-8.056
B5A,hp358p598m_vm8p15792mps_sp2deg,3,True,True,False,True,358.598,-8.158
B5A,hp392p403m_vm2p26165mps_sp2deg,3,True,True,False,True,392.403,-2.262
B5A,hp420p482m_vp4p54463mps_sp2deg,3,True,True,False,True,420.482,4.545
B5A,hp434p666m_vm9p07585mps_sp2deg,3,True,True,False,True,434.666,-9.076
B5A,hp447p399m_vm2p79102mps_sp2deg,3,True,True,False,True,447.399,-2.791
B5A,hp46p566m_vm17p2617mps_sp2deg,3,False,False,True,False,46.566,-17.262
B5A,hp470p698m_vp3p58727mps_sp2deg,3,True,True,False,True,470.698,3.587
B5A,hp471p766m_vm9p21737mps_sp2deg,3,True,True,False,True,471.766,-9.217
B5A,hp477p976m_vp3p56853mps_sp2deg,3,True,True,False,True,477.976,3.569
B5A,hp484p922m_vp5p20782mps_sp2deg,3,True,True,False,True,484.922,5.208
B5A,hp500m_vm50mps_sp2deg,3,False,False,False,False,500.0,-50.0
B5A,hp500m_vp10mps_sp2deg,3,True,True,False,True,500.0,10.0
B5A,hp500m_vp20mps_sp2deg,3,False,False,False,False,500.0,20.0
B5A,hp500m_vp30mps_sp2deg,3,True,True,False,False,500.0,30.0
B5A,hp500m_vp40mps_sp2deg,3,False,False,False,False,500.0,40.0
B5A,hp500m_vp50mps_sp2deg,3,False,False,True,False,500.0,50.0
B5A,hp500m_vz0mps_sp2deg,3,True,True,False,,500.0,
B5A,hp54p5848m_vm46p171mps_sp2deg,3,False,False,True,False,54.585,-46.171
B5A,hp89p5916m_vm2p94839mps_sp2deg,3,True,True,False,True,89.592,-2.948
