source_csv,stage,case_id,vehicle_id,delta_h0_m,delta_v0_mps,inside_u3,combined_source,source_n_rows_total,schema_ok,replayed_dwell,terminal_reason_ok,terminal_reason_available,success_flag_any,success_flag_available,close_pass_any,strict_success,n_rows,first_confirm_index,min_abs_h_error,min_abs_v_error,min_abs_s_error,notes
store\data_saved\phase2_B5E_mis0_corner_robustness_refinement\phase2_B5E_by_run_partial.csv,B5E,phase2_B5E_mis0_corner_robustness_refinement,0,,,,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c049_hp64p217_vp6p242\phase2_B5A_by_case.csv,B5D,b5c049_hp64p217_vp6p242,0,64.217,6.242,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c048_hp380p801_vm0p950\phase2_B5A_by_case.csv,B5D,b5c048_hp380p801_vm0p950,0,380.801,-0.95,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c047_hp52p723_vp6p654\phase2_B5A_by_case.csv,B5D,b5c047_hp52p723_vp6p654,0,52.723,6.654,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c046_hp1p809_vm0p086\phase2_B5A_by_case.csv,B5D,b5c046_hp1p809_vm0p086,0,1.809,-0.086,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c045_hp67p020_vm0p134\phase2_B5A_by_case.csv,B5D,b5c045_hp67p020_vm0p134,0,67.02,-0.134,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c044_hp440p893_vm6p434\phase2_B5A_by_case.csv,B5D,b5c044_hp440p893_vm6p434,0,440.893,-6.434,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c043_hp452p043_vp0p481\phase2_B5A_by_case.csv,B5D,b5c043_hp452p043_vp0p481,0,452.043,0.481,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c042_hp365p116_vp0p190\phase2_B5A_by_case.csv,B5D,b5c042_hp365p116_vp0p190,0,365.116,0.19,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c041_hp343p214_vm7p616\phase2_B5A_by_case.csv,B5D,b5c041_hp343p214_vm7p616,0,343.214,-7.616,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c040_hp129p630_vm0p019\phase2_B5A_by_case.csv,B5D,b5c040_hp129p630_vm0p019,0,129.63,-0.019,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c039_hp377p603_vm0p371\phase2_B5A_by_case.csv,B5D,b5c039_hp377p603_vm0p371,0,377.603,-0.371,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c038_hp335p499_vm1p147\phase2_B5A_by_case.csv,B5D,b5c038_hp335p499_vm1p147,0,335.499,-1.147,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c037_hp344p441_vp2p572\phase2_B5A_by_case.csv,B5D,b5c037_hp344p441_vp2p572,0,344.441,2.572,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c036_hp421p940_vm4p196\phase2_B5A_by_case.csv,B5D,b5c036_hp421p940_vm4p196,0,421.94,-4.196,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c035_hp132p429_vm3p567\phase2_B5A_by_case.csv,B5D,b5c035_hp132p429_vm3p567,0,132.429,-3.567,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c034_hp332p074_vm5p639\phase2_B5A_by_case.csv,B5D,b5c034_hp332p074_vm5p639,0,332.074,-5.639,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c033_hp336p292_vp0p794\phase2_B5A_by_case.csv,B5D,b5c033_hp336p292_vp0p794,0,336.292,0.794,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c032_hp197p674_vm6p911\phase2_B5A_by_case.csv,B5D,b5c032_hp197p674_vm6p911,0,197.674,-6.911,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c031_hp110p319_vp5p597\phase2_B5A_by_case.csv,B5D,b5c031_hp110p319_vp5p597,0,110.319,5.597,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c030_hp86p638_vm0p242\phase2_B5A_by_case.csv,B5D,b5c030_hp86p638_vm0p242,0,86.638,-0.242,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c029_hp283p266_vp6p772\phase2_B5A_by_case.csv,B5D,b5c029_hp283p266_vp6p772,0,283.266,6.772,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c028_hp98p422_vm4p869\phase2_B5A_by_case.csv,B5D,b5c028_hp98p422_vm4p869,0,98.422,-4.869,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c027_hp312p051_vm5p900\phase2_B5A_by_case.csv,B5D,b5c027_hp312p051_vm5p900,0,312.051,-5.9,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c026_hp216p564_vp2p798\phase2_B5A_by_case.csv,B5D,b5c026_hp216p564_vp2p798,0,216.564,2.798,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c025_hp457p541_vm6p362\phase2_B5A_by_case.csv,B5D,b5c025_hp457p541_vm6p362,0,457.541,-6.362,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c024_hp316p252_vm5p690\phase2_B5A_by_case.csv,B5D,b5c024_hp316p252_vm5p690,0,316.252,-5.69,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c023_hp48p334_vp0p483\phase2_B5A_by_case.csv,B5D,b5c023_hp48p334_vp0p483,0,48.334,0.483,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c022_hp44p606_vm9p298\phase2_B5A_by_case.csv,B5D,b5c022_hp44p606_vm9p298,0,44.606,-9.298,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c021_hp9p864_vp0p067\phase2_B5A_by_case.csv,B5D,b5c021_hp9p864_vp0p067,0,9.864,0.067,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c020_hp21p581_vm9p979\phase2_B5A_by_case.csv,B5D,b5c020_hp21p581_vm9p979,0,21.581,-9.979,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c019_hp61p117_vp1p056\phase2_B5A_by_case.csv,B5D,b5c019_hp61p117_vp1p056,0,61.117,1.056,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c018_hp343p939_vp1p764\phase2_B5A_by_case.csv,B5D,b5c018_hp343p939_vp1p764,0,343.939,1.764,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c017_hp492p240_vp1p120\phase2_B5A_by_case.csv,B5D,b5c017_hp492p240_vp1p120,0,492.24,1.12,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c016_hp86p233_vm5p063\phase2_B5A_by_case.csv,B5D,b5c016_hp86p233_vm5p063,0,86.233,-5.063,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c015_hp468p756_vp8p881\phase2_B5A_by_case.csv,B5D,b5c015_hp468p756_vp8p881,0,468.756,8.881,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c014_hp190p148_vm1p949\phase2_B5A_by_case.csv,B5D,b5c014_hp190p148_vm1p949,0,190.148,-1.949,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c013_hp141p172_vp0p854\phase2_B5A_by_case.csv,B5D,b5c013_hp141p172_vp0p854,0,141.172,0.854,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c012_hp14p700_vp1p086\phase2_B5A_by_case.csv,B5D,b5c012_hp14p700_vp1p086,0,14.7,1.086,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c011_hp349p694_vm0p101\phase2_B5A_by_case.csv,B5D,b5c011_hp349p694_vm0p101,0,349.694,-0.101,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c010_hp59p976_vp4p029\phase2_B5A_by_case.csv,B5D,b5c010_hp59p976_vp4p029,0,59.976,4.029,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c009_hp463p922_vp3p164\phase2_B5A_by_case.csv,B5D,b5c009_hp463p922_vp3p164,0,463.922,3.164,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c008_hp76p236_vm1p050\phase2_B5A_by_case.csv,B5D,b5c008_hp76p236_vm1p050,0,76.236,-1.05,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c007_hp278p652_vm0p283\phase2_B5A_by_case.csv,B5D,b5c007_hp278p652_vm0p283,0,278.652,-0.283,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c006_hp262p371_vm3p022\phase2_B5A_by_case.csv,B5D,b5c006_hp262p371_vm3p022,0,262.371,-3.022,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c005_hp157p702_vp5p565\phase2_B5A_by_case.csv,B5D,b5c005_hp157p702_vp5p565,0,157.702,5.565,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c004_hp106p199_vp8p290\phase2_B5A_by_case.csv,B5D,b5c004_hp106p199_vp8p290,0,106.199,8.29,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c003_hp281p755_vp6p735\phase2_B5A_by_case.csv,B5D,b5c003_hp281p755_vp6p735,0,281.755,6.735,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c002_hp150p213_vm1p197\phase2_B5A_by_case.csv,B5D,b5c002_hp150p213_vm1p197,0,150.213,-1.197,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c001_hp407p878_vp3p750\phase2_B5A_by_case.csv,B5D,b5c001_hp407p878_vp3p750,0,407.878,3.75,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\case_reports\b5c000_hp173p144_vm1p127\phase2_B5A_by_case.csv,B5D,b5c000_hp173p144_vm1p127,0,173.144,-1.127,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c029_hp453p825_vm15p327\phase2_B5A_by_case.csv,B5A,b5c029_hp453p825_vm15p327,0,453.825,-15.327,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c028_hp490p152_vm18p579\phase2_B5A_by_case.csv,B5A,b5c028_hp490p152_vm18p579,0,490.152,-18.579,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c027_hp17p447_vm0p662\phase2_B5A_by_case.csv,B5A,b5c027_hp17p447_vm0p662,0,17.447,-0.662,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c026_hp229p100_vp3p236\phase2_B5A_by_case.csv,B5A,b5c026_hp229p100_vp3p236,0,229.1,3.236,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c025_hp301p310_vp8p988\phase2_B5A_by_case.csv,B5A,b5c025_hp301p310_vp8p988,0,301.31,8.988,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c024_hp89p592_vm2p948\phase2_B5A_by_case.csv,B5A,b5c024_hp89p592_vm2p948,0,89.592,-2.948,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c023_hp107p913_vp0p974\phase2_B5A_by_case.csv,B5A,b5c023_hp107p913_vp0p974,0,107.913,0.974,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c022_hp46p566_vm17p262\phase2_B5A_by_case.csv,B5A,b5c022_hp46p566_vm17p262,0,46.566,-17.262,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c021_hp246p017_vm13p129\phase2_B5A_by_case.csv,B5A,b5c021_hp246p017_vm13p129,0,246.017,-13.129,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c020_hp231p021_vm17p231\phase2_B5A_by_case.csv,B5A,b5c020_hp231p021_vm17p231,0,231.021,-17.231,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c019_hp357p148_vm8p056\phase2_B5A_by_case.csv,B5A,b5c019_hp357p148_vm8p056,0,357.148,-8.056,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c018_hp258p913_vp7p057\phase2_B5A_by_case.csv,B5A,b5c018_hp258p913_vp7p057,0,258.913,7.057,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c017_hp184p675_vm5p902\phase2_B5A_by_case.csv,B5A,b5c017_hp184p675_vm5p902,0,184.675,-5.902,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c016_hp477p976_vp3p569\phase2_B5A_by_case.csv,B5A,b5c016_hp477p976_vp3p569,0,477.976,3.569,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c015_hp122p534_vm2p974\phase2_B5A_by_case.csv,B5A,b5c015_hp122p534_vm2p974,0,122.534,-2.974,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c014_hp484p922_vp5p208\phase2_B5A_by_case.csv,B5A,b5c014_hp484p922_vp5p208,0,484.922,5.208,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c013_hp333p663_vm5p882\phase2_B5A_by_case.csv,B5A,b5c013_hp333p663_vm5p882,0,333.663,-5.882,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c012_hp420p482_vp4p545\phase2_B5A_by_case.csv,B5A,b5c012_hp420p482_vp4p545,0,420.482,4.545,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c011_hp27p601_vm12p488\phase2_B5A_by_case.csv,B5A,b5c011_hp27p601_vm12p488,0,27.601,-12.488,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c010_hp253p790_vm8p872\phase2_B5A_by_case.csv,B5A,b5c010_hp253p790_vm8p872,0,253.79,-8.872,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c009_hp325p987_vm9p589\phase2_B5A_by_case.csv,B5A,b5c009_hp325p987_vm9p589,0,325.987,-9.589,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c008_hp195p154_vm9p360\phase2_B5A_by_case.csv,B5A,b5c008_hp195p154_vm9p360,0,195.154,-9.36,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c007_hp447p399_vm2p791\phase2_B5A_by_case.csv,B5A,b5c007_hp447p399_vm2p791,0,447.399,-2.791,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c006_hp235p530_vm19p076\phase2_B5A_by_case.csv,B5A,b5c006_hp235p530_vm19p076,0,235.53,-19.076,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c005_hp402p748_vp0p427\phase2_B5A_by_case.csv,B5A,b5c005_hp402p748_vp0p427,0,402.748,0.427,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c004_hp486p588_vm13p264\phase2_B5A_by_case.csv,B5A,b5c004_hp486p588_vm13p264,0,486.588,-13.264,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c003_hp434p666_vm9p076\phase2_B5A_by_case.csv,B5A,b5c003_hp434p666_vm9p076,0,434.666,-9.076,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c002_hp147p164_vp7p682\phase2_B5A_by_case.csv,B5A,b5c002_hp147p164_vp7p682,0,147.164,7.682,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c001_hp392p403_vm2p262\phase2_B5A_by_case.csv,B5A,b5c001_hp392p403_vm2p262,0,392.403,-2.262,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5C_local_envelope_validation\case_reports\b5c000_hp471p766_vm9p217\phase2_B5A_by_case.csv,B5A,b5c000_hp471p766_vm9p217,0,471.766,-9.217,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc029_hm360p203_vm43p128\phase2_B5A_by_case.csv,B5A,mc029_hm360p203_vm43p128,0,-360.203,-43.128,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc028_hm41p084_vm15p876\phase2_B5A_by_case.csv,B5A,mc028_hm41p084_vm15p876,0,-41.084,-15.876,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc027_hp205p165_vm3p156\phase2_B5A_by_case.csv,B5A,mc027_hp205p165_vm3p156,0,205.165,-3.156,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc026_hp286p924_vm10p109\phase2_B5A_by_case.csv,B5A,mc026_hp286p924_vm10p109,0,286.924,-10.109,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc025_hm300p092_vm49p558\phase2_B5A_by_case.csv,B5A,mc025_hm300p092_vm49p558,0,-300.092,-49.558,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc024_hp182p496_vm41p615\phase2_B5A_by_case.csv,B5A,mc024_hp182p496_vm41p615,0,182.496,-41.615,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc023_hm112p522_vm32p700\phase2_B5A_by_case.csv,B5A,mc023_hm112p522_vm32p700,0,-112.522,-32.7,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc022_hp332p260_vm1p714\phase2_B5A_by_case.csv,B5A,mc022_hp332p260_vm1p714,0,332.26,-1.714,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc021_hp200p265_vm31p258\phase2_B5A_by_case.csv,B5A,mc021_hp200p265_vm31p258,0,200.265,-31.258,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc020_hm62p848_vm0p039\phase2_B5A_by_case.csv,B5A,mc020_hm62p848_vm0p039,0,-62.848,-0.039,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc019_hm273p091_vm9p811\phase2_B5A_by_case.csv,B5A,mc019_hm273p091_vm9p811,0,-273.091,-9.811,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc018_hm370p078_vm21p458\phase2_B5A_by_case.csv,B5A,mc018_hm370p078_vm21p458,0,-370.078,-21.458,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc017_hm30p444_vm38p632\phase2_B5A_by_case.csv,B5A,mc017_hm30p444_vm38p632,0,-30.444,-38.632,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc016_hm174p175_vm27p772\phase2_B5A_by_case.csv,B5A,mc016_hm174p175_vm27p772,0,-174.175,-27.772,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc015_hp244p762_vp8p051\phase2_B5A_by_case.csv,B5A,mc015_hp244p762_vp8p051,0,244.762,8.051,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc014_hm345p711_vm9p017\phase2_B5A_by_case.csv,B5A,mc014_hm345p711_vm9p017,0,-345.711,-9.017,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc013_hm33p279_vm47p372\phase2_B5A_by_case.csv,B5A,mc013_hm33p279_vm47p372,0,-33.279,-47.372,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc012_hp278p383_vm38p322\phase2_B5A_by_case.csv,B5A,mc012_hp278p383_vm38p322,0,278.383,-38.322,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc011_hp470p698_vp3p587\phase2_B5A_by_case.csv,B5A,mc011_hp470p698_vp3p587,0,470.698,3.587,True,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc010_hp258p088_vm28p728\phase2_B5A_by_case.csv,B5A,mc010_hp258p088_vm28p728,0,258.088,-28.728,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc009_hp327p631_vm12p100\phase2_B5A_by_case.csv,B5A,mc009_hp327p631_vm12p100,0,327.631,-12.1,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc008_hp54p585_vm46p171\phase2_B5A_by_case.csv,B5A,mc008_hp54p585_vm46p171,0,54.585,-46.171,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
store\data_saved\phase2_B5B_mc_pilot\conservative_u3\case_reports\mc007_hm56p586_vm36p366\phase2_B5A_by_case.csv,B5A,mc007_hm56p586_vm36p366,0,-56.586,-36.366,False,False,1,False,False,False,False,False,False,False,False,1,,,,,missing required trajectory columns
