vehicle_sort,vehicle_role,n_events,mean_abs_delta_psi_deg,p95_abs_delta_psi_deg,max_abs_delta_psi_deg,mean_abs_gamma_deg,p95_abs_gamma_deg,max_abs_gamma_deg
0,Vehicle~1,49,0.32323314046078994,0.4297720039746454,0.4849132485794375,3.130974641689858,3.2285968785272736,3.2765692010263456
1,Vehicle~2,50,0.3659778612637456,0.5059117838875551,0.5891525579705523,3.0583306218594033,3.2043352649775136,3.3080813320952167
2,Vehicle~3,50,0.41261531697925,0.6054733350683722,0.6750750250605827,3.0075845443948945,3.159751875379358,3.253809947781584
