csv,vehicle_id,vehicle_sort,vehicle_role,event_time_s,abs_delta_psi_deg,abs_gamma_deg
b5c000_hp173p144_vm1p127_combined.csv,0,0,Vehicle~1,2139.331000000203,0.30368731826225764,3.162408105397756
b5c001_hp407p878_vp3p750_combined.csv,0,0,Vehicle~1,2135.290000000204,0.38444488629136897,3.055188212264447
b5c002_hp150p213_vm1p197_combined.csv,0,0,Vehicle~1,2139.3960000002035,0.2991339357565275,3.1684890268960824
b5c003_hp281p755_vp6p735_combined.csv,0,0,Vehicle~1,2134.0920000002056,0.4171390644646603,3.0055955845991766
b5c004_hp106p199_vp8p290_combined.csv,0,0,Vehicle~1,2133.412000000205,0.4849132485794375,2.9458437068915546
b5c005_hp157p702_vp5p565_combined.csv,0,0,Vehicle~1,2134.2350000002043,0.40215132708687357,3.000430865920767
b5c006_hp262p371_vm3p022_combined.csv,0,0,Vehicle~1,2140.366000000204,0.2757910009971195,3.185772341692142
b5c007_hp278p652_vm0p283_combined.csv,0,0,Vehicle~1,2138.695000000202,0.336531452278185,3.124802378238601
b5c008_hp76p236_vm1p050_combined.csv,0,0,Vehicle~1,2139.374000000203,0.29932402360572324,3.1682511739769463
b5c009_hp463p922_vp3p164_combined.csv,0,0,Vehicle~1,2135.8530000002047,0.39188717421117414,3.052991226579386
b5c010_hp59p976_vp4p029_combined.csv,0,0,Vehicle~1,2135.3410000002045,0.352578024573033,3.057622276333714
b5c011_hp349p694_vm0p101_combined.csv,0,0,Vehicle~1,2138.0990000002034,0.2928209959920046,3.1519495902210566
b5c012_hp14p700_vp1p086_combined.csv,0,0,Vehicle~1,2137.775000000204,0.3144558562385873,3.1378801048851117
b5c013_hp141p172_vp0p854_combined.csv,0,0,Vehicle~1,2137.767000000202,0.3130879605267198,3.1396495079294895
b5c014_hp190p148_vm1p949_combined.csv,0,0,Vehicle~1,2139.6570000002025,0.2607317572251797,3.19525606236167
b5c015_hp468p756_vp8p881_combined.csv,0,0,Vehicle~1,2132.071000000203,0.4381939636479689,2.950108517812196
b5c016_hp86p233_vm5p063_combined.csv,0,0,Vehicle~1,2141.158000000205,0.2644953642693773,3.21309212761797
b5c017_hp492p240_vp1p120_combined.csv,0,0,Vehicle~1,2137.308000000204,0.3549734407261988,3.116903630195728
b5c018_hp343p939_vp1p764_combined.csv,0,0,Vehicle~1,2136.975000000204,0.3520092359384383,3.0897052447899958
b5c019_hp61p117_vp1p056_combined.csv,0,0,Vehicle~1,2137.642000000203,0.31577515476040996,3.1253742510035996
b5c021_hp9p864_vp0p067_combined.csv,0,0,Vehicle~1,2137.857000000204,0.36847571653912176,3.05848349620651
