file,vehicle_id,n_rows,time_col,error_source_cols,schema_ok,time_ok,finite_state_ok,end_guide_any,end_guide_final,final_row_ok,end_reason_final,terminal_reason_ok,success_flag_any,success_cols,close_pass_any,close_cols,replayed_dwell,dwell_entry_idx,dwell_confirm_idx,max_replayed_dwell_count,logging_audit_pass,replayed_strict_success,notes
outputs\logging_audit_B5D_input_stage\audit_input_00016.csv,1,5829,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5820,5822,5,True,True,
outputs\logging_audit_B5D_input_stage\audit_input_00016.csv,2,5805,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5796,5798,5,True,True,
outputs\logging_audit_B5D_input_stage\audit_input_00017.csv,0,1,,,False,False,False,False,False,False,,False,False,,False,,False,,,0,False,False,"missing time column | missing end_reason column | missing end_guide column | Cannot reconstruct TAEM errors; missing columns: ['height', 'velocity', 's_go'] | time ordering or finite-time check failed | final-row preservation check failed"
outputs\logging_audit_B5D_input_stage\audit_input_00017.csv,1,1,,,False,False,False,False,False,False,,False,False,,False,,False,,,0,False,False,"missing time column | missing end_reason column | missing end_guide column | Cannot reconstruct TAEM errors; missing columns: ['height', 'velocity', 's_go'] | time ordering or finite-time check failed | final-row preservation check failed"
outputs\logging_audit_B5D_input_stage\audit_input_00017.csv,2,1,,,False,False,False,False,False,False,,False,False,,False,,False,,,0,False,False,"missing time column | missing end_reason column | missing end_guide column | Cannot reconstruct TAEM errors; missing columns: ['height', 'velocity', 's_go'] | time ordering or finite-time check failed | final-row preservation check failed"
outputs\logging_audit_B5D_input_stage\audit_input_00018.csv,0,1,,,False,False,False,False,False,False,,False,False,,False,,False,,,0,False,False,"missing time column | missing end_reason column | missing end_guide column | Cannot reconstruct TAEM errors; missing columns: ['height', 'velocity', 's_go'] | time ordering or finite-time check failed | final-row preservation check failed"
outputs\logging_audit_B5D_input_stage\audit_input_00018.csv,1,1,,,False,False,False,False,False,False,,False,False,,False,,False,,,0,False,False,"missing time column | missing end_reason column | missing end_guide column | Cannot reconstruct TAEM errors; missing columns: ['height', 'velocity', 's_go'] | time ordering or finite-time check failed | final-row preservation check failed"
outputs\logging_audit_B5D_input_stage\audit_input_00018.csv,2,1,,,False,False,False,False,False,False,,False,False,,False,,False,,,0,False,False,"missing time column | missing end_reason column | missing end_guide column | Cannot reconstruct TAEM errors; missing columns: ['height', 'velocity', 's_go'] | time ordering or finite-time check failed | final-row preservation check failed"
outputs\logging_audit_B5D_input_stage\audit_input_00019.csv,0,1,,,False,False,False,False,False,False,,False,False,,False,,False,,,0,False,False,"missing time column | missing end_reason column | missing end_guide column | Cannot reconstruct TAEM errors; missing columns: ['height', 'velocity', 's_go'] | time ordering or finite-time check failed | final-row preservation check failed"
outputs\logging_audit_B5D_input_stage\audit_input_00019.csv,1,1,,,False,False,False,False,False,False,,False,False,,False,,False,,,0,False,False,"missing time column | missing end_reason column | missing end_guide column | Cannot reconstruct TAEM errors; missing columns: ['height', 'velocity', 's_go'] | time ordering or finite-time check failed | final-row preservation check failed"
