file,vehicle_id,n_rows,time_col,error_source_cols,schema_ok,time_ok,finite_state_ok,end_guide_any,end_guide_final,final_row_ok,end_reason_final,terminal_reason_ok,success_flag_any,success_cols,close_pass_any,close_cols,replayed_dwell,dwell_entry_idx,dwell_confirm_idx,max_replayed_dwell_count,logging_audit_pass,replayed_strict_success,notes
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_005.csv,0,5858,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5850,5852,4,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_005.csv,1,5831,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5822,5824,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_005.csv,2,5808,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5799,5801,4,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_006.csv,0,5844,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5836,5838,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_006.csv,1,5829,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5820,5822,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_006.csv,2,5813,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5805,5807,4,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_007.csv,0,5846,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5837,5839,6,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_007.csv,1,5827,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5818,5820,6,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_007.csv,2,5817,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5808,5810,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_008.csv,0,5849,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5840,5842,6,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_008.csv,1,5827,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5819,5821,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_008.csv,2,5819,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5810,5812,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_009.csv,0,5862,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5854,5856,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_009.csv,1,5833,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5825,5827,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_009.csv,2,5804,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5796,5798,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_010.csv,0,5869,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5861,5863,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_010.csv,1,5832,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5823,5825,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_010.csv,2,5819,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5810,5812,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_011.csv,0,5852,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5844,5846,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_011.csv,1,5843,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5834,5836,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_011.csv,2,5812,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5803,5805,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_012.csv,0,5847,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5839,5841,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_012.csv,1,5842,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5834,5836,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_012.csv,2,5810,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5802,5804,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_013.csv,0,5865,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5857,5859,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_013.csv,1,5829,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5821,5823,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_013.csv,2,5815,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5806,5808,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_014.csv,0,5857,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5849,5851,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_014.csv,1,5832,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5824,5826,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_014.csv,2,5815,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5807,5809,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_015.csv,0,5839,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5831,5833,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_015.csv,1,5837,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5829,5831,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_015.csv,2,5819,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5811,5813,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_016.csv,0,5858,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5849,5851,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_016.csv,1,5839,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5830,5832,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_016.csv,2,5820,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5810,5812,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_017.csv,0,5855,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5847,5849,6,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_017.csv,1,5825,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5817,5819,6,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_017.csv,2,5803,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5795,5797,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_018.csv,0,5866,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5858,5860,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_018.csv,1,5836,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5828,5830,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_018.csv,2,5824,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5815,5817,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_019.csv,0,5857,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5849,5851,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_019.csv,1,5836,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5827,5829,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_019.csv,2,5820,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5811,5813,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_020.csv,0,5858,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5850,5852,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_020.csv,1,5829,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5821,5823,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_020.csv,2,5817,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5808,5810,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_021.csv,0,5910,global_t,height;velocity;s_go,True,True,True,True,True,True,close_pass_escape,False,False,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,True,close_pass_escape,False,,,0,True,False,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_021.csv,1,5822,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5814,5816,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_021.csv,2,5805,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5797,5799,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_022.csv,0,5857,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5849,5851,6,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_022.csv,1,5830,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5822,5824,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_022.csv,2,5820,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5812,5814,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_023.csv,0,5858,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5850,5852,6,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_023.csv,1,5829,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5822,5824,5,True,True,
outputs\logging_audit_B5D_combined_input_stage\b5d_combined_023.csv,2,5817,global_t,height;velocity;s_go,True,True,True,True,True,True,taem_dwell_reached,True,True,taem_success_latched;taem_reached_ever;taem_reached_event;taem_reached,False,close_pass_escape,True,5809,5811,6,True,True,
